"incident_date","incident_number","cad_number","alarm_date_time","unit_clear_date_time","street_address","apt_suite_number","neighborhood","incident_type_id","incident_type_desc","alarms","suppression_app_count","suppression_per_count","ems_app_count","ems_per_count","other_app_count","other_per_count","incident_closed","Location"
2010-12-30,47,10364047,2010-12-30 08:06:00,2010-12-30 08:27:00,"1119 WAREHAM DR","A","MOUNT  ADA",352,"Extrication of victim(s) from vehicle",0,2,8,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-30,35,10364035,2010-12-30 07:12:00,2010-12-30 07:21:00,"5515 MADISON RD","","MADISONVIL",730,"System malfunction, other",0,1,4,0,NA,0,0,1,"CINC 45249
(39.27932958800005, -84.32918883299999)"
2010-12-30,31,10364031,2010-12-30 06:35:00,2010-12-30 06:48:00,"1085 SUMMER ST","","LOWER PRIC",734,"Heat detector activation due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45204
(39.09223799700004, -84.56303702899999)"
2010-12-30,30,10364030,2010-12-30 05:56:00,2010-12-30 06:24:00,"3339 EPWORTH AV","20","WESTWOOD  ",522,"Water or steam leak",0,1,4,0,NA,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
2010-12-30,24,10364024,2010-12-30 04:10:00,2010-12-30 04:31:00,"4526 CHICKERING AV","","WINTON HIL",730,"System malfunction, other",0,1,4,0,NA,0,0,1,"CINC 45232
(39.17969861200004, -84.51558956899999)"
2010-12-30,15,10364015,2010-12-30 02:24:00,2010-12-30 02:45:00,"1579 ST LEGER PL","40","EVANSTON  ",531,"Smoke or odor removal",0,1,4,0,0,0,0,1,"CINC 45207
(39.14263571500004, -84.47276953999994)"
2010-12-29,172,10363172,2010-12-29 23:41:00,2010-12-29 23:52:00,"3333 BURNET AV","","AVONDALE  ",730,"System malfunction, other",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-29,169,10363169,2010-12-29 23:15:00,2010-12-29 23:31:00,"3639 ALASKA AV","","AVONDALE  ",331,"Lock-in (if lock out , use 511 )",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-29,159,10363159,2010-12-29 21:52:00,2010-12-29 22:24:00,"2973 SIDNEY AV","","CAMP  WASH",350,"Extrication, rescue, other",0,2,6,0,0,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
2010-12-29,156,10363156,2010-12-29 21:23:00,2010-12-29 21:43:00,"3333 BURNET AV","","AVONDALE  ",730,"System malfunction, other",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-29,138,10363138,2010-12-29 18:32:00,2010-12-29 18:41:00,"330 FOREST AV","207","AVONDALE  ",353,"Removal of victim(s) from stalled elevator",0,1,4,0,0,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-29,126,10363126,2010-12-29 17:11:00,2010-12-29 17:26:00,"2911 WOODSIDE DR UC ","","CLIFTON/UN",735,"Alarm system sounded due to malfunction",0,0,NA,0,NA,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
2010-12-29,116,10363116,2010-12-29 15:57:00,2010-12-29 16:00:00,"3333 BURNET AV","","AVONDALE  ",740,"Unintentional transmission of alarm, other",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-29,113,10363113,2010-12-29 15:42:00,2010-12-29 15:59:00,"637 WALNUT ST","","C. B. D. /",743,"Smoke detector activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-29,111,10363111,2010-12-29 15:14:00,2010-12-29 15:21:00,"3543 VAN ANTWERP PL","","AVONDALE  ",744,"Detector activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
